Gamekey,Home_team,Away_Team,Player_Short_Name,Player_Team,Home_Team
55837,DEN,BAL,P.Manning,DEN,True
55837,DEN,BAL,K.Moreno,DEN,True
55837,DEN,BAL,M.Ball,DEN,True
55837,DEN,BAL,R.Hillman,DEN,True
55837,DEN,BAL,W.Welker,DEN,True
55837,DEN,BAL,J.Thomas,DEN,True
55837,DEN,BAL,A.Caldwell,DEN,True
55837,DEN,BAL,D.Thomas,DEN,True
55837,DEN,BAL,E.Decker,DEN,True
55837,DEN,BAL,D.Trevathan,DEN,True
55837,DEN,BAL,M.Prater,DEN,True
55837,DEN,BAL,B.Colquitt,DEN,True
55837,DEN,BAL,T.Holliday,DEN,True
55837,DEN,BAL,T.Knighton,DEN,True
55837,DEN,BAL,R.Moore,DEN,True
55837,DEN,BAL,K.Webster,DEN,True
55837,DEN,BAL,D.Wolfe,DEN,True
55837,DEN,BAL,M.Adams,DEN,True
55837,DEN,BAL,P.Lenon,DEN,True
55837,DEN,BAL,S.Phillips,DEN,True
55837,DEN,BAL,C.Harris,DEN,True
55837,DEN,BAL,R.Ayers,DEN,True
55837,DEN,BAL,K.Vickerson,DEN,True
55837,DEN,BAL,D.Ihenacho,DEN,True
55837,DEN,BAL,M.Unrein,DEN,True
55837,DEN,BAL,T.Carter,DEN,True
55837,DEN,BAL,S.Williams,DEN,True
55837,DEN,BAL,W.Woodyard,DEN,True
55837,DEN,BAL,N.Irving,DEN,True
55837,DEN,BAL,M.Jackson,DEN,True
55837,DEN,BAL,J.Flacco,BAL,False
55837,DEN,BAL,R.Rice,BAL,False
55837,DEN,BAL,B.Pierce,BAL,False
55837,DEN,BAL,J.Jones,BAL,False
55837,DEN,BAL,D.Clark,BAL,False
55837,DEN,BAL,M.Brown,BAL,False
55837,DEN,BAL,E.Dickson,BAL,False
55837,DEN,BAL,T.Smith,BAL,False
55837,DEN,BAL,V.Leach,BAL,False
55837,DEN,BAL,B.Stokley,BAL,False
55837,DEN,BAL,R.Wagner,BAL,False
55837,DEN,BAL,M.Cox,BAL,False
55837,DEN,BAL,J.Tucker,BAL,False
55837,DEN,BAL,S.Koch,BAL,False
55837,DEN,BAL,L.Webb,BAL,False
55837,DEN,BAL,D.Smith,BAL,False
55837,DEN,BAL,C.Canty,BAL,False
55837,DEN,BAL,H.Ngata,BAL,False
55837,DEN,BAL,E.Dumervil,BAL,False
55837,DEN,BAL,M.Huff,BAL,False
55837,DEN,BAL,C.Graham,BAL,False
55837,DEN,BAL,M.Spears,BAL,False
55837,DEN,BAL,T.Suggs,BAL,False
55837,DEN,BAL,C.Upshaw,BAL,False
55837,DEN,BAL,J.Smith,BAL,False
